share_K,share_D,share_AI,share_H,year
0.03333333333333335,0.4666666666666666,0.4666666666666666,0.03333333333333334,2026
0.03333333333333333,0.4666666666666666,0.4666666666666666,0.03333333333333334,2027
0.03333333333333333,0.4666666666666666,0.4666666666666666,0.03333333333333337,2028
0.3255813953488373,0.3255813953488373,0.3255813953488371,0.02325581395348838,2029
0.3597758459355845,0.3011335219616928,0.3133923573930381,0.025698274709684617,2030
0.4188892928105437,0.2772745223282728,0.27391552108900175,0.029920663772181708,2031
0.4024318050081233,0.2892120843075714,0.27961098175515364,0.02874512892915167,2032
0.37590865191835104,0.3082072376341633,0.28903349245331766,0.026850617994167953,2033
0.37658949070197295,0.31169107013871417,0.2848201898234575,0.026899249335855215,2034
0.35,0.25,0.2,0.2,2035
