region_code,region_name_vi,TOPSIS_score
SE,Dong Nam Bo,0.9401516970335646
RRD,Dong bang song Hong,0.8981332243464238
NCC,Bac Trung Bo va DH Trung Bo,0.3597195549320711
MD,Dong bang song Cuu Long,0.17103796130825552
NMM,Trung du mien nui phia Bac,0.09928628933181609
CH,Tay Nguyen,0.031216208412754215
