episode,reward
1,17.2588423874701
2,17.125713646340127
3,17.16865028375399
4,17.080664606051712
5,17.237815782762315
6,17.095718754629694
7,17.25140503635204
8,16.97483411969064
9,17.1949433631104
10,17.361413504962535
11,17.246440491878232
12,17.442474560791165
13,17.277834793986948
14,17.22650801925518
15,17.05531300477036
16,17.14431705346956
17,17.074026823678082
18,17.159837130054274
19,17.23561132286238
20,16.946066177969993
21,17.25448045160278
22,17.070053331048875
23,17.187144161086874
24,17.157278877250686
25,17.2777973235273
26,17.04402887348867
27,17.310160037678017
28,17.291556344609116
29,17.06794588652699
30,17.23169581767172
31,17.339761102757052
32,17.238972578294383
33,17.11956840544516
34,17.197838947370936
35,17.013082008212294
36,17.039554561337923
37,17.11598799419647
38,17.23607299521083
39,17.21906020312202
40,17.227099367829755
41,16.972009183975604
42,17.24112898215022
43,17.098531329706333
44,17.169128891784258
45,17.266155014935027
46,17.24326643680358
47,17.149453126111396
48,17.16948869960706
49,17.097587998421773
50,17.237504620587718
51,17.109473094129214
52,17.165247565693054
53,17.040301446426092
54,17.12740565113357
55,17.235126765755144
56,17.218036247387364
57,17.091596704725294
58,17.192192556769644
59,16.974834119690644
60,17.051117256921025
61,17.299684886544853
62,17.237466498216214
63,17.243412497464185
64,17.21716024106743
65,17.235126765755144
66,17.14003157669459
67,17.070053331048868
68,17.32086668452158
69,17.051117256921017
70,17.297273031566267
71,17.215137508656365
72,17.097587998421776
73,17.147391941261514
74,17.17139721025938
75,16.987457854556084
76,17.095718754629697
77,17.144278171178
78,17.32086668452158
79,17.185829531951264
80,17.194143275865393
81,16.94312444802584
82,17.21659546233647
83,17.322304041497247
84,17.095718754629704
85,17.153129923905496
86,17.262383472060534
87,16.95696816247621
88,17.130295459821664
89,17.1700567273772
90,17.397293732503023
91,17.19281103118749
92,17.19281103118749
93,17.23750462058772
94,17.258842387470096
95,17.080286367337347
96,17.22227153545121
97,17.212381491220206
98,16.973336985650537
99,17.072871274064216
100,17.119568405445165
101,17.243266436803573
102,17.098531329706322
103,17.267724691147425
104,17.219062828813854
105,17.014170579536252
106,17.169128891784254
107,17.029393976795575
108,17.144278171177998
109,17.284271080191008
110,17.05111725692102
111,17.044209055815283
112,17.236912627449698
113,17.16990723805219
114,17.07055941419507
115,17.13976153754034
116,16.973336985650537
117,17.239493428764856
118,17.241128982150215
