region_code,region_name_vi,I,D,AI,H,total
NMM,Trung du mien nui phia Bac,0.0,0.0,0.0,5000.0,5000.0
RRD,Dong bang song Hong,0.0,0.0,12000.0,0.0,12000.0
NCC,Bac Trung Bo va DH Trung Bo,0.0,0.0,0.0,5000.0,5000.0
CH,Tay Nguyen,0.0,0.0,0.0,11000.0,11000.0
SE,Dong Nam Bo,0.0,0.0,12000.0,0.0,12000.0
MD,Dong bang song Cuu Long,0.0,0.0,0.0,5000.0,5000.0
