scenario,status,Z,Ha tang so,AI va du lieu,Nhan luc so,R&D cong nghe
base_x3_min_20,optimal,112.25,25.0,15.0,20.0,40.0
priority_x3_min_30,optimal,108.25,25.0,15.0,30.0,30.0
