growth,inclusion_mad,emission,security_risk,is_compromise
60827.759723799114,1940.0970962101767,2155.4112441286825,-9303.980387558298,False
58177.64827259365,1252.041813034741,236.39574559389575,-10932.842263953053,False
55946.829868215296,84.93935140613455,10221.013627541408,-1929.4920300733497,False
58504.09342846189,1409.3851954750116,753.240173466803,-11578.596863959261,False
54576.70117952787,50.94453675147057,8747.985019708558,-2485.725568318409,False
55221.24754386443,104.80855936612443,9547.78363447907,-1603.1542110160294,False
44680.25077500731,75.27094328614703,7626.928929705477,-1676.3585998992153,False
61196.79831070116,1055.4591844577858,4453.909672601497,-7203.746442277274,False
53766.97593571953,87.9992319625103,8182.482769988842,-2784.917367164315,False
60864.13750701622,651.1519236678029,6706.564238628943,-4937.488785494673,False
44704.62967032122,80.1959726424913,7645.545540672459,-1668.3800523419372,False
59538.171281365576,1748.3294573786504,1267.4348433525188,-11006.372007111586,False
59410.9528380559,1521.6763370154556,698.943405569325,-11520.318263448778,False
54741.03856702763,122.05073411145258,7442.122285998325,-3976.545072691291,False
60054.073002157726,125.14814701067401,6603.950441232813,-4610.714302426599,False
60831.31419112754,296.30222922360554,5494.133233720215,-6236.702494560839,False
46531.405366614636,163.9428732505785,882.3244271797557,-7925.985093158747,False
54521.95831955665,93.8377438186911,7442.122285998325,-3923.965813298257,False
56200.960419901974,446.36775492325324,1936.0552349752604,-9926.202877918551,False
60671.11584917303,832.7636261084217,4713.238703858283,-6911.739455723518,False
60874.152204599275,702.2352855448922,6284.420451150851,-5393.500213035932,False
60908.01396733844,694.742637782656,6299.900114117327,-5393.500213035932,False
50128.847057970146,485.32549204365233,603.7089925768771,-9487.7730601979,False
47523.69672762777,290.7125859233006,874.7658681647699,-7652.601930420836,False
54450.23713385333,69.79198284441797,8581.446558954298,-2632.3632561202826,False
55139.86764511335,106.84636596904117,9509.659862009423,-1603.3104616257242,False
60338.37535764063,750.5469306765323,4731.174133358151,-5979.013985840686,False
52774.76841503974,240.7015118846892,2285.115838978483,-8961.075373451376,False
55112.41189994116,75.5976026433935,10114.738814409435,-1760.150655738385,False
57844.16723065809,382.9476110754393,4474.441592341072,-6672.180692966482,False
59501.64122310655,401.43094013188164,4935.163686001284,-5777.938527598469,False
48453.106713711866,105.43152355696611,1460.4823660937666,-7485.942183708306,False
53912.97611549164,257.6280210735824,1702.0437424404154,-9170.20073504364,False
51558.746028917405,475.71753712898607,1044.9944267788892,-9642.539801544726,False
59542.34741336979,1832.1530326045947,2135.1399502195295,-9222.92948688312,False
60516.00318320433,1028.979485128182,4224.445955136706,-6999.86998268065,False
